DatGeracaoConjuntoDados;DatRalie;IdeNucleoCEG;CodCEG;SigUFPrincipal;DscOrigemCombustivel;SigTipoGeracao;NomEmpreendimento;MdaPotenciaOutorgadaKw;DscPropriRegimePariticipacao;DscTipoConexao;NomConexao;MdaTensaoConexao;NomEmpresaConexao;NumCnpjEmpresaConexao;DscViabilidade;DscSituacaoObra;DatPrevisaoInicioObra;DatContratoEPCOutorgado;DatRecursoFinanceiroOutorgado;DatCanteiroObraOutorgado;DatCanteiroObraRealizado;DatInicioObraOutorgado;DatInicioObraRealizado;DatConcretagemOutorgado;DatConcretagemRealizado;DatDesvioRioOutorgado;DatDesvioRioRealizado;DatMontagemOutorgado;DatMontagemRealizado;DatConclusaoTorresOutorgado;DatConclusaoTorresRealizado;DatEnchimentoOutorgado;DatEnchimentoRealizado;DatComissionamentoUGRealizado;DatSisTransmissaoOutorgado;DatSisTransmissaoRealizado;DatConclusaoSisTransOutorgado;DatConclusaoSisTransRealizado;DscJustificativaPrevisao;DscComercializacaoEnergia;DscSistema;DatConclusaoTransporteRealizado;DscSituacaoCronograma;DatRapeel;IdcComplexo;NomComplexo;DatEmissaoLP;DatValidadeLP;DscSituacaoLP;DatEmissaoLI;DatValidadeLI;DscSituacaoLI;DatSolicitacaoLO;DatPrevistaEmissaoLO;DatPrevMaxEmissaoLO;DatEmissaoLO;DatValidadeLO;DscSituacaoLO;NomSituacaoParAcesso;DatSolicitacaoParAcesso;DatEmissaoParAcesso;DscSitCCD;DatValidadeCCD;DatAssinaturaCCD;DscSitCCT;DatValidadeCCT;DatAssinaturaCCT;DscSituacaoCusd;DatValidadeCusd;DatAssinaturaCusd;DscSitCust;DatValidadeCust;DatAssinaturaCust;DscAtoOutorga;DscNumeroAto;NomOrgaoOutorgante;DscTipoOutorga;DatEmissaoAto
26/05/2025;15/05/2025;659;PCH.PH.SC.000659-9.1;SC;Hídrica;PCH;Capivari;18738; 100% para Sociedade Urbano CERBRANORTE - Geração de Energia Elétrica SPE Ltda. (PIE);Subestação;Braço do Norte São Basílio;138;CELESC DISTRIBUICAO S.A;8,33678E+12;Baixa;Paralisada;;;;01/03/2002;31/12/2012;30/04/2002;31/12/2012;31/08/2004;30/01/2014;01/03/2003;29/10/2013;28/02/2005;29/10/2014;;;;24/07/2017;;;01/10/2013;;17/09/2016;Paralisação de obras;ACR;Sistema Interligado Nacional;;Atrasado;03/05/2025;;;29/03/1999;29/03/2000;Vencida;29/06/2022;28/06/2028;Válida;23/02/2022;;;23/02/2022;22/02/2026;Válida;Válido;04/05/2016;04/05/2016;Válido;01/07/2022;04/05/2016;Válido;01/07/2022;04/05/2016;Válido;01/07/2022;04/05/2016;Válido;01/07/2022;04/05/2016;Resolução;13.079;ANEEL;Autorização;16/11/2022
26/05/2025;15/05/2025;796;UTE.AI.SP.000796-0.1;SP;Biomassa;UTE;Colombo Ariranha;96795; 100% para COLOMBO BIOENERGIA S.A. UTE 1 (PIE);Subestação;Pirangi – UTE Colombo;138;COMPANHIA PAULISTA DE FORCA E LUZ;3,30502E+13;Média;Não Iniciada;30/06/2025;;;;;;;;;;;;;;;;;;;;;;Sem RAPEEL;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resolução;530;ANEEL;Autorização;13/10/2003
26/05/2025;15/05/2025;1195;UHE.PH.GO.001195-9.1;GO;Hídrica;UHE;Itumirim;50000; 100% para Companhia Energética Itumirim (PIE);Subestação;Rio Claro;138;EDP TRANSMISSAO GOIAS SA;7,7793E+12;Baixa;Não Iniciada;;;;;;31/03/2002;;31/03/2002;;31/03/2004;;;;;;;;;;;;;Demandas judiciais;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contrato;053/2000;ANEEL;Concessão;26/07/2000
26/05/2025;15/05/2025;1455;PCH.PH.MG.001455-9.1;MG;Hídrica;PCH;Melo Viana  ;6516; 100% para EMPRESA FORÇA E LUZ SÃO SEBASTIÃO LTDA (PIE);Subestação;PCH Cachoeira do Emboque;138;ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.;1,95276E+13;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;04/04/2025;;;23/08/2010;23/08/2014;Vencida;24/06/2015;24/06/2021;Vencida;;01/10/2025;01/11/2025;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;246;ANEEL;Autorização;27/06/2005
26/05/2025;15/05/2025;1997;UHE.PH.RS.001997-6.2;RS;Hídrica;UHE;Passo de Ajuricaba;6200; 100% para DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUÍ GERAÇÃO (SP);Seccionamento;LT Upa - Ijuí;23;DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUI;9,52895E+13;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;06/05/2025;;;19/06/2001;17/11/2011;Vencida;;;Não Solicitada;30/04/2021;;;24/11/2021;22/01/2024;Válida;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Contrato;107-2º Termo Aditvo;MME;Concessão;04/12/2012
26/05/2025;15/05/2025;2586;PCH.PH.AP.002586-0.1;AP;Hídrica;PCH;Salto Cafesoca;7500; 100% para OIAPOQUE ENERGIA SA (PIE);Subestação;Oiapoque - Sistemas Isolados;34,5;COMPANHIA DE ELETRICIDADE DO AMAPA CEA;5,96555E+12;Alta;Em andamento;;;;23/10/2021;03/10/2022;23/11/2021;15/09/2022;24/09/2022;07/12/2023;25/04/2022;15/09/2022;25/12/2022;01/05/2024;;;26/04/2023;23/09/2024;;25/12/2022;15/01/2023;;24/04/2025;Estágio das obras da usina;ACR;Sistemas Isolados;;Atrasado;06/05/2025;;;26/02/2018;26/02/2020;Vencida;22/06/2020;22/06/2024;Válida;13/09/2024;15/05/2025;30/05/2025;;;Solicitada;Válido;03/03/2019;23/05/2019;Não se Aplica;;;Não se Aplica;;;Válido;28/08/2024;28/08/2023;Não se Aplica;;;Despacho;2.440;ANEEL;Autorização;06/09/2022
26/05/2025;15/05/2025;26867;PCH.PH.SC.026867-4.1;SC;Hídrica;PCH;São Luiz;11500; 100% para IRANI PAPEL E EMBALAGEM S.A. (APE);Subestação;outro;0;;;Média;Não Iniciada;01/07/2025;;;07/04/2025;;01/07/2025;;02/02/2026;;03/08/2026;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Normal;04/05/2025;;;14/04/2023;14/04/2028;Válida;;;Solicitada;;29/01/2027;29/03/2027;;;Não Solicitada;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Despacho;1.215;ANEEL;Autorização;15/04/2024
26/05/2025;15/05/2025;28000;PCH.PH.MT.028000-3.1;MT;Hídrica;PCH;Nhandu;13000; 100% para USINA ELÉTRICA DO NHANDU S.A. (PIE);Subestação;Matupá;138;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3,46732E+12;Baixa;Paralisada;;;;31/08/2004;01/08/2006;29/11/2004;01/08/2006;28/03/2005;;;;03/01/2006;;;;;;;;;;;Demandas judiciais;Fora ACR;Sistema Interligado Nacional;;Atrasado;06/05/2025;;;30/06/2000;30/06/2001;Vencida;08/06/2006;29/03/2009;Vencida;;30/12/2030;30/12/2030;;;Não Solicitada;Vencido;07/12/2004;07/12/2004;Não se Aplica;;;Não se Aplica;;;Vencido;01/06/2020;07/12/2004;Vencido;01/06/2020;07/12/2004;Resolução;437;ANEEL;Autorização;17/11/2000
26/05/2025;15/05/2025;28001;PCH.PH.MT.028001-1.1;MT;Hídrica;PCH;Rochedo;9000; 100% para USINA ELÉTRICA DO NHANDU S.A. (PIE);Subestação;Matupá;138;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3,46732E+12;Baixa;Paralisada;;;;31/08/2004;;29/11/2004;01/05/2007;;;;;02/02/2006;;;;;;;;;;;Demandas judiciais;Fora ACR;Sistema Interligado Nacional;;Atrasado;06/05/2025;;;30/06/2000;30/06/2001;Vencida;29/03/2006;29/03/2009;Vencida;;30/12/2030;31/12/2030;;;Não Solicitada;Válido;07/12/2004;07/12/2004;Não se Aplica;;;Não se Aplica;;;Vencido;01/06/2020;07/12/2004;Vencido;01/06/2020;07/12/2004;Resolução;438;ANEEL;Autorização;17/11/2000
26/05/2025;15/05/2025;28492;PCH.PH.RO.028492-0.1;RO;Hídrica;PCH;Apertadinho;30000; 100% para CENTRAIS ELÉTRICAS BELÉM S/A (PIE);Subestação;Vilhena;138;ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A;5,91465E+12;Baixa;Paralisada;;;;;;;;;;;;;;;;;;;;;;;Paralisação de obras;Fora ACR;Sistema Interligado Nacional;;Atrasado;05/05/2025;;;01/10/2001;01/02/2002;Válida;01/10/2008;01/10/2009;Vencida;;01/04/2026;01/04/2027;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;277;ANEEL;Autorização;21/05/2002
26/05/2025;15/05/2025;28786;PCH.PH.GO.028786-5.1;GO;Hídrica;PCH;Muçungo;9990; 100% para CONSTRUTORA LJA LTDA (PIE);Subestação;Padre Bernardo;69;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A;1,54303E+12;Baixa;Não Iniciada;;;;15/01/2007;;15/02/2007;;15/05/2007;;15/04/2008;;15/01/2008;;;;;;;;;;;Inviabilidade da implantação da usina;Fora ACR;Sistema Interligado Nacional;;Atrasado;03/02/2020;;;02/02/2002;03/02/2002;Válida;;;Não Solicitada;;07/07/2023;07/07/2023;;;Não Solicitada;Solicitado;11/02/2016;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Resolução;697;ANEEL;Autorização;17/12/2002
26/05/2025;15/05/2025;28791;PCH.PH.PR.028791-1.1;PR;Hídrica;PCH;São Jerônimo;15500; 100% para COOPERATIVA AGRÁRIA AGROINDUSTRIAL (PIE);Subestação;Socorro;34,5;COPEL GERACAO E TRANSMISSAO S.A.;4,37028E+12;Alta;Em andamento;;;;;06/05/2024;;06/05/2024;;27/09/2024;;28/02/2025;;26/03/2025;;;;;;;;;;Estágio das obras da usina;Fora ACR;Sistema Interligado Nacional;;Atrasado;06/05/2025;;;13/07/2020;13/07/2023;Válida;17/07/2023;17/07/2028;Válida;;14/10/2025;14/11/2025;;;Não Solicitada;Vencido;11/05/2021;28/05/2021;Não se Aplica;;;Não se Aplica;;;Válido;06/01/2026;06/01/2025;Não se Aplica;;;Resolução;6.135;ANEEL;Autorização;29/11/2016
26/05/2025;15/05/2025;28843;PCH.PH.RS.028843-8.1;RS;Hídrica;PCH;Monte Cuco;30000; 100% para PCH PERFORMANCE CENTRAIS HIDRELETRICAS (PIE);Subestação;Guaporé;138;RIO GRANDE ENERGIA SA;2,01644E+12;Baixa;Não Iniciada;;;;01/05/2006;;01/08/2006;;01/12/2006;;31/10/2006;;01/10/2007;;;;;;;;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;02/05/2025;;;;;Solicitada;;;Não Solicitada;;31/03/2029;31/03/2029;;;Não Solicitada;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Resolução;750;ANEEL;Autorização;18/12/2002
26/05/2025;15/05/2025;29226;PCH.PH.MG.029226-5.1;MG;Hídrica;PCH;Pontal;29000; 100% para DM CONSTRUTORA DE OBRAS LTDA (PIE);Subestação;Ponte Nova;69;COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG;1,71557E+13;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;01/05/2025;;;;;Solicitada;;;Não Solicitada;;10/04/2028;10/04/2028;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;2;ANEEL;Autorização;10/01/2005
26/05/2025;15/05/2025;29257;PCH.PH.MT.029257-5.1;MT;Hídrica;PCH;Jubinha III;4080; 100% para NOVA JUBA ENERGETICA S/A (PIE);Subestação;UHE Juba I;138;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3,46732E+12;Média;Não Iniciada;11/04/2026;;;;;;;;;;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Atrasado;05/05/2025;;;18/10/2011;17/01/2014;Vencida;;;Não Solicitada;;14/06/2026;14/12/2026;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;185;ANEEL;Autorização;09/05/2005
26/05/2025;15/05/2025;29258;PCH.PH.MT.029258-3.1;MT;Hídrica;PCH;Juba IV;7480; 100% para NOVA JUBA ENERGETICA S/A (PIE);Subestação;UHE Juba I;138;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3,46732E+12;Média;Não Iniciada;11/04/2028;;;;;;;;;;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Atrasado;05/05/2025;;;11/12/2007;10/12/2010;Vencida;;;Não Solicitada;;13/06/2027;13/06/2027;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;186;ANEEL;Autorização;09/05/2005
26/05/2025;15/05/2025;29414;PCH.PH.PR.029414-4.1;PR;Hídrica;PCH;Foz da Anta;12000; 100% para Santa Helena Energia ME (PIE);Subestação;SE Siqueira Campos;34,5;COPEL DISTRIBUICAO S.A.;4,3689E+12;Média;Não Iniciada;09/09/2025;;;;;;;;;;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Atrasado;06/05/2025;;;28/08/2017;28/08/2019;Vencida;;;Solicitada;;28/05/2025;10/03/2026;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não Assinado;;;Não Assinado;;;Não Assinado;;;Resolução;509;ANEEL;Autorização;11/04/2006
26/05/2025;22/04/2025;28492;PCH.PH.RO.028492-0.1;RO;Hídrica;PCH;Apertadinho;30000; 100% para CENTRAIS ELÉTRICAS BELÉM S/A (PIE);Subestação;Vilhena;138;ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A;5,91465E+12;Baixa;Paralisada;;;;;;;;;;;;;;;;;;;;;;;Paralisação de obras;Fora ACR;Sistema Interligado Nacional;;Atrasado;05/04/2025;;;01/10/2001;01/02/2002;Válida;01/10/2008;01/10/2009;Vencida;;01/04/2026;01/04/2027;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;277;ANEEL;Autorização;21/05/2002
26/05/2025;22/04/2025;28786;PCH.PH.GO.028786-5.1;GO;Hídrica;PCH;Muçungo;9990; 100% para CONSTRUTORA LJA LTDA (PIE);Subestação;Padre Bernardo;69;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A;1,54303E+12;Baixa;Não Iniciada;;;;15/01/2007;;15/02/2007;;15/05/2007;;15/04/2008;;15/01/2008;;;;;;;;;;;Inviabilidade da implantação da usina;Fora ACR;Sistema Interligado Nacional;;Atrasado;03/02/2020;;;02/02/2002;03/02/2002;Válida;;;Não Solicitada;;07/07/2023;07/07/2023;;;Não Solicitada;Solicitado;11/02/2016;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Resolução;697;ANEEL;Autorização;17/12/2002
26/05/2025;22/04/2025;28791;PCH.PH.PR.028791-1.1;PR;Hídrica;PCH;São Jerônimo;15500; 100% para COOPERATIVA AGRÁRIA AGROINDUSTRIAL (PIE);Subestação;Socorro;34,5;COPEL GERACAO E TRANSMISSAO S.A.;4,37028E+12;Alta;Em andamento;;;;;06/05/2024;;06/05/2024;;27/09/2024;;28/02/2025;;26/03/2025;;;;;;;;;;Estágio das obras da usina;Fora ACR;Sistema Interligado Nacional;;Atrasado;02/04/2025;;;13/07/2020;13/07/2023;Válida;17/07/2023;17/07/2028;Válida;;14/10/2025;14/11/2025;;;Não Solicitada;Vencido;11/05/2021;28/05/2021;Não se Aplica;;;Não se Aplica;;;Válido;06/01/2026;06/01/2025;Não se Aplica;;;Resolução;6.135;ANEEL;Autorização;29/11/2016
26/05/2025;22/04/2025;28843;PCH.PH.RS.028843-8.1;RS;Hídrica;PCH;Monte Cuco;30000; 100% para PCH PERFORMANCE CENTRAIS HIDRELETRICAS (PIE);Subestação;Guaporé;138;RIO GRANDE ENERGIA SA;2,01644E+12;Baixa;Não Iniciada;;;;01/05/2006;;01/08/2006;;01/12/2006;;31/10/2006;;01/10/2007;;;;;;;;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;01/04/2025;;;;;Solicitada;;;Não Solicitada;;31/03/2029;31/03/2029;;;Não Solicitada;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Resolução;750;ANEEL;Autorização;18/12/2002
